"prv_code","city_code","area_code","dept_code","li_code","cand_no","cand_name","party_code","cand_sex","cand_birthday","cand_age","cand_bornplace","cand_edu","is_current","is_victor","is_vice"
"00","000","01","000","0000","1","林世偉","999","1","0560101","56","臺灣省","高中(職)","N"," "," "
"00","000","01","000","0000","2","李我要單列族名我的布農族名字是Savungaz Valincinan","999","2","0760405","36","臺北市","大學","N"," "," "
"00","000","01","000","0000","3","盧縣一","1","1","0570428","55","臺灣省","大學","N","*"," "
"00","000","01","000","0000","4","林果","999","2","0660323","46","高雄市","碩士","N"," "," "
"00","000","01","000","0000","5","張子孝","999","1","0490207","63","臺灣省","專科","N"," "," "
"00","000","01","000","0000","6","胡黃廣文","350","1","0580917","54","臺灣省","大學","N"," "," "
"00","000","01","000","0000","7","高畹芯","382","2","0480110","64","臺灣省","大學","N"," "," "
"00","000","01","000","0000","8","高金素梅","999","2","0540921","58","臺中市","高中(職)","Y","*"," "
"00","000","01","000","0000","9","孔文吉","1","1","0461018","66","臺灣省","博士","Y"," "," "
"00","000","01","000","0000","10","伍麗華 Saidhai．Tahovecahe","16","2","0580812","54","高雄市","碩士","Y","*"," "
